Date,Positive,Transferred,Recovered,Fatalities
2020-03-01T00:00:00-05:00,0,,0,0
2020-03-02T00:00:00-05:00,0,,0,0
2020-03-03T00:00:00-05:00,0,,0,0
2020-03-04T00:00:00-05:00,1,,0,0
2020-03-05T00:00:00-05:00,1,,0,0
2020-03-06T00:00:00-05:00,2,,0,0
2020-03-07T00:00:00-05:00,3,,0,0
2020-03-08T00:00:00-05:00,5,,0,0
2020-03-09T00:00:00-04:00,7,,0,0
2020-03-10T00:00:00-04:00,9,,0,0
2020-03-11T00:00:00-04:00,10,,0,0
2020-03-12T00:00:00-04:00,13,,0,0
2020-03-13T00:00:00-04:00,19,,0,0
2020-03-14T00:00:00-04:00,20,,0,0
2020-03-15T00:00:00-04:00,24,,0,0
2020-03-16T00:00:00-04:00,30,,0,0
2020-03-17T00:00:00-04:00,34,,0,0
2020-03-18T00:00:00-04:00,36,,0,0
2020-03-19T00:00:00-04:00,43,,0,0
2020-03-20T00:00:00-04:00,53,,0,0
2020-03-21T00:00:00-04:00,55,,0,0
2020-03-22T00:00:00-04:00,59,,1,0
2020-03-23T00:00:00-04:00,67,,1,0
2020-03-24T00:00:00-04:00,74,,4,0
2020-03-25T00:00:00-04:00,80,,5,0
2020-03-26T00:00:00-04:00,94,,6,0
2020-03-27T00:00:00-04:00,105,,7,0
2020-03-28T00:00:00-04:00,114,,9,0
2020-03-29T00:00:00-04:00,117,,9,0
2020-03-30T00:00:00-04:00,130,,10,0
2020-03-31T00:00:00-04:00,144,,11,0
2020-04-01T00:00:00-04:00,163,,19,0
2020-04-02T00:00:00-04:00,176,,27,1
2020-04-03T00:00:00-04:00,191,,27,1
2020-04-04T00:00:00-04:00,212,,39,1
2020-04-05T00:00:00-04:00,225,,46,1
2020-04-06T00:00:00-04:00,249,,48,1
2020-04-07T00:00:00-04:00,274,,54,1
2020-04-08T00:00:00-04:00,295,,63,1
2020-04-09T00:00:00-04:00,321,,69,1
2020-04-10T00:00:00-04:00,347,,70,1
2020-04-11T00:00:00-04:00,361,,71,1
2020-04-12T00:00:00-04:00,379,,71,1
2020-04-13T00:00:00-04:00,401,,74,2
2020-04-14T00:00:00-04:00,421,,84,3
2020-04-15T00:00:00-04:00,439,,90,4
2020-04-16T00:00:00-04:00,454,,95,4
2020-04-17T00:00:00-04:00,472,,122,6
2020-04-18T00:00:00-04:00,485,,134,6
2020-04-19T00:00:00-04:00,494,,135,6
2020-04-20T00:00:00-04:00,514,,135,6
2020-04-21T00:00:00-04:00,526,,150,6
2020-04-22T00:00:00-04:00,557,,162,6
2020-04-23T00:00:00-04:00,585,,174,6
2020-04-24T00:00:00-04:00,599,,178,6
2020-04-25T00:00:00-04:00,611,,181,6
